title,link,author,author_link,date
Assessing the determinants of participation in the circular plastic economy by Nigerian students,https://pureportal.coventry.ac.uk/en/publications/assessing-the-determinants-of-participation-in-the-circular-plast-2,"Okoya,https://pureportal.coventry.ac.uk/en/persons/olubunmi-ajala, Oyinlola, M.,Ajala, O., Kolade, O., Adefila, A. & Akinlabi, E.,",https://pureportal.coventry.ac.uk/en/persons/olubunmi-ajala,2 Jan 2025
Does self-congruity matter for virtual influencer’s non-fungible token (NFT) purchase intentions? The role of financial literacy,https://pureportal.coventry.ac.uk/en/publications/does-self-congruity-matter-for-virtual-influencers-non-fungible-t,"& Kontesa, M.,Brahmana, R. K.& Kontesa, M.,",https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana,14 Jan 2025
Does the corporate governance index matter for company zombification?,https://pureportal.coventry.ac.uk/en/publications/does-the-corporate-governance-index-matter-for-company-zombificat,"& Setiawan, D.,Brahmana, R. K.& Setiawan, D.,",https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana,22 Jan 2025
Fostering Entrepreneurship and Innovation in Nigerian Universities,https://pureportal.coventry.ac.uk/en/publications/fostering-entrepreneurship-and-innovation-in-nigerian-universitie,"Oyinlola, M., Adefila, A., Okoya, S. A., Kolade, O., Babaremu, K.,Ajala, O., Tijani, B. & Akinlabi, E.,",https://pureportal.coventry.ac.uk/en/persons/olubunmi-ajala,Jan 2025
"Managerial Regulatory Engagement, Access to Bank Finance, and the Moderating Role of Institutional Religiosity:  A Cross-country Study",https://pureportal.coventry.ac.uk/en/publications/managerial-regulatory-engagement-access-to-bank-finance-and-the-m,"Liedong, T.,Aghanya, D.& Saeed, A.,",https://pureportal.coventry.ac.uk/en/persons/daniel-aghanya,Jan 2025
Mechanic Village Business Networks and Circular Economy Practices in the Automotive Industry,https://pureportal.coventry.ac.uk/en/publications/mechanic-village-business-networks-and-circular-economy-practices,"Ambituuni, A., Oyinlola, M.,Ajala, O., Helen, S., Esfahbodi, A. & Darrow, D.,",https://pureportal.coventry.ac.uk/en/persons/olubunmi-ajala,17 Jan 2025
Popular movie effects on advanced finance course performance: flipped classroom vs in-class view,https://pureportal.coventry.ac.uk/en/publications/popular-movie-effects-on-advanced-finance-course-performance-flip,"& Yau, J. T. H.,Brahmana, R. K.& Yau, J. T. H.,",https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana,17 Jan 2025
Success in cross-border M&A deals: Can ESG performance be a countervailing force against political risk?,https://pureportal.coventry.ac.uk/en/publications/success-in-cross-border-mampa-deals-can-esg-performance-be-a-coun,"&Xu, B.&",https://pureportal.coventry.ac.uk/en/persons/boying-xu,10 Feb 2025
What makes companies zombie? Detecting the most important zombification feature using tree-based machine learning,https://pureportal.coventry.ac.uk/en/publications/what-makes-companies-zombie-detecting-the-most-important-zombific,",Brahmana, R. K.,",https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana,25 Apr 2025
Whether voluntary GHG disclosure could help improve subsequent GHG performance-new global evidence,https://pureportal.coventry.ac.uk/en/publications/whether-voluntary-ghg-disclosure-could-help-improve-subsequent-gh,"Li, P.,Li, M., Zhu, W. & Lucey, B.,",https://pureportal.coventry.ac.uk/en/persons/mingchen-li,Jan 2025
