News,Labels
"But in an unsigned letter addressed to the US trade representative, Tesla said while it ""supports"" fair trade it was concerned US exporters were ""exposed to disproportionate impacts"" if other countries retaliated to tariffs.",Business
"The US president has imposed an additional 20% tariff on all imports from China, prompting Beijing to respond with retaliatory levies including on cars. China is Tesla's second biggest market after the US.",Business
That bill is rising rapidly and many argue it needs to be curbed for the sake of the UK's public finances � as well as the economic and individual benefits of getting people back into work.,Business
"The reason was that many people appealed against refusals that had been triggered by the tightened eligibility criteria. Also, the emergence of cases in the media which seemed unfair meant ministers, often under pressure from their own backbench MPs, ultimately ordered the eligibility rules to be relaxed.",Business
"That implies the official forecaster may hesitate to assume greater state investment in these schemes will pay for itself through higher employment and tax revenues, and result in net savings in public expenditure.",Business
"The S&P 500 dropped nearly 1.4%, taking it down roughly 10% from its most recent peak - a milestone known as a correction. The Dow slumped 1.3%, while the Nasdaq dropped almost 2%.",Business
"The vast majority of McDonald's restaurants are run by franchises, which means individual operators are licensed to run the outlets and employ the staff.",Business
"These include regular risk assessments, ensuring younger and more vulnerable workers are properly safeguarded and ensuring complaints are dealt with sensitively and effectively through an established procedure.",Business
"""The most effective and efficient way to make progress is through agreements but if that's not progressing adequately that's when we can take stronger and further action.""",Business
"It said the letter was sent ""to remind our franchisees of their legal obligations to provide a safe, respectful and inclusive workplace for their employees - which is the same legal requirement of all employers,"" adding that it ""welcomes"" any steps that mean it is continuing to make progress in this area.",Business
The UK's advertising watchdog says it has banned ads using models who appear unhealthily underweight rather than overweight due to society's aspiration towards thinness.,Business
"Inflation and the rising cost of living means food staples such as meat, eggs, butter and cereals are more expensive than a year ago, while households are also facing higher energy and water bills later this year.",Business
Many more people have also turned to food banks in recent times. The Trussell Trust food bank has reported more than 1.4 million new users in the past two years.,Business
"""As food inflation rises again, Waitrose must be agile in keeping prices low on essentials and offering opportunities for consumers to trade up,"" Ms Simpson-Gould said.",Business
"Before initially axing the pledge, staff were still using pencils, spreadsheets, and trips to other shops to keep track of rivals' prices.",Business
"The company said it now uses artificial intelligence to track competitor prices in physical stores and online, and also to look at menu trends to help it decide its own menus.",Business
The escalating trade war between the US and many of its largest trading partners has unsettled financial markets and raised concerns about the impact on economies and consumers across the world.,Business
"Peaks and troughs of the gold price have occurred at some of the key moments in economic history. At the outbreak of the global financial crisis in 2007, investors bought gold as a haven asset, which led to a rise in its price.",Business
"""Quite which of these issues is now the main driver of gold's renaissance is hard to divine, especially as Donald Trump's tariffs are prompting a debate about how inflationary (or stagflationary) they may prove to be, and how effective they may be at funding the new US President's hoped-for tax cuts,"" he said.",Business
"Following the latest figures, the government warned that the road back to low inflation would be ""bumpy"", but the Conservatives and Liberal Democrats argued Labour's tax rises and spending plans had caused the latest spike.",Business
"But some businesses have warned that higher pay, as well as a rise in National Insurance, will mean increased prices for customers as companies attempt to cover increased costs.",Business
"""Food shopping has almost doubled from about three years ago,"" she said. ""We spend, maybe, a minimum of �90 a month now and that doesn't include �20-�30 topping up during the week with fruit, veg and milk.""",Business
"Professor Jonathan Haskel, a former member of the Bank of England's interest rate-setting committee, told the BBC that policymakers could ""take no signal"" from the inflation spike and carry on cutting rates gradually or view it as a ""harbinger of more to come"" and change course.",Business
"With the economy seen to be underperforming and global factors, such as US trade tariffs, indirectly impacting the UK, there is growing speculation over whether the chancellor will break her self-imposed rules on borrowing.",Business
"The government is also seeking to reorganise the civil service to reduce bureaucracy. It has already announced that�NHS England will be scrapped, and other quangos and regulators are also expected to be axed.",Business
"Borrowing costs for the UK surged in January in part due to concerns over the UK's economic outlook, threatening Reeves's economic plans. The costs have since fallen back but remain higher than this time last year.",Business
"In 2020, the Covid pandemic caused the most severe UK recession for more than 300 years, which forced the government to borrow hundreds of billions of pounds to support the economy.",Business
"In 2020, the entrepreneur, who had campaigned for Leave in the run-up to the 2016 Brexit referendum, announced that the vehicle would be assembled in France, putting an end to hopes that it would be made at a plant in Wales.",Business
"The UK exports a relatively small amount of steel and aluminium to the US, around �700m in total. However the tariffs also cover products made with steel and aluminium, worth much more, about �2.2bn, or about 5% of UK exports to the US last year.",Business
"""If I have higher prices, I pass them on to my customers. They have higher prices, they pass it on to the consumer,"" Mr DiMarino said. ""Does the consumer have the money to pay those higher prices, or do they reduce their demand?""",Business
"It�s certainly true that spending on these programs has the country on an unsustainable fiscal path, but Musk isn�t talking about them as legitimate programs that need reform. He�s talking about them as fraudulent schemes, something that would surprise the tens of millions of American citizens who rely on them.",Politics
How is Social Security a �magnetic force� for undocumented immigrants if they can�t get Social Security benefits?,Politics
"Pennsylvania Democratic volunteer Bobbi Erickson wants her party�s leaders to be far more aggressive in taking on Trump. �We are watching the Constitution burn. We are watching the country that we love be systematically dismantled,� Erickson told CNN�s Eva McKend,�whose recent trip to the commonwealth�revealed extreme impatience among grassroots Democrats.",Politics
"Democrats fear this stopgap bill will simply provide another six months�for Trump and Musk to widen the Department of Government Efficiency�s plan to fire thousands of workers and close entire federal departments. But in theory, they can block it by refusing to give the GOP probably eight votes needed to reach a filibuster-proof majority in the Senate. The need for 60-vote thresholds for most bills is the only lever the Democrats can pull in the capital to slow or moderate Trump�s actions.",Politics
"Senate Democratic Minority Leader Chuck Schumer sought to break Democrats out of their unenviable political box on Wednesday, warning that the 60 votes needed to pass the funding bill do not yet exist. He called for a separate one-month extension with identical spending allocations as those currently in force to allow for bipartisan negotiations. �We should vote on that. I hope, I hope our Republican colleagues will join us to avoid a shutdown on Friday,� Schumer said on Wednesday.",Politics
"Democrats would also be hoping to put pressure on Johnson and to make him face a backlash for sending his members home. They�d hope either to gain some concessions that could slow the Trump juggernaut or to open fissures in the tiny GOP House majority that could be important in later, more critical fights.",Politics
"�If you shut it down, you will impact and hurt millions and millions and millions of Americans, and you run the risk of slipping us into a recession or even all kinds of other things,� Fetterman told CNN�s Manu Raju on Wednesday. �Remember what you were voting for. You were voting to shut the government down, and that will absolutely punish millions, millions of Americans,� Fetterman said.",Politics
"The group of protesters, organized by a local offshoot of Indivisible, a progressive movement created in 2016 after Trump first took the White House, marched from Fetterman�s Philadelphia field office to Independence National Historic Park chanting �Stand up for us� as people passing by honked and cheered.",Politics
"Longtime Philadelphia attorney Michelle Flamer describes herself as a centrist. Still, she feels compelled to protest her own party because the people she voted for, she says, should feel accountable to her. �In my view, our nation�s on fire and we are actually in a constitutional crisis now,� the 68-year-old said in an interview on her porch in West Philadelphia.",Politics
"Jeffries was trying to indicate it was not on Democrats to bail out Speaker Mike Johnson on government spending negotiations since Republicans are in the majority. His message: Democrats would work with Johnson on a bipartisan basis, but conservatives must take responsibility for whatever materialized.",Politics
"�There�s a war being waged in America, in rural Pennsylvania, and we�re fighting and we�re scrapping every single day to get volunteers, to get Democrats on the ballot, to get votes out. We�re scrapping every day, and if they would work half as hard as we do, I would have no complaints,� Erickson said.",Politics
"�There�s a lot of Democrats in Pennsylvania,� Fetterman said, adding that he wouldn�t act like members of his party who held up signs during Trump�s recent address to Congress. �I�m not going to be one of those guys, but my values haven�t changed, and I�m going to be a reliable Democrat. I�m going to keep fighting for wins in Pennsylvania.�",Politics
"At least eight Senate Democrats would need to vote with the GOP to accept the bill, which includes none of the concessions the party has been demanding to protect Congress� spending powers in the Trump era.",Politics
"Senate Democrats will hold a meeting Wednesday where they are expected to discuss their position on the House GOP funding plan, according to multiple people familiar with the planning.",Politics
"In a closed-door meeting Tuesday morning, Vance warned Republicans that their party could be blamed if the government shut downs, in a last-ditch push to lock down the votes. The vice president told members that the party will �lose momentum� on Trump�s agenda if the short-term spending bill fails, specifically pointing to border security and political momentum, the source said.",Politics
"Schumer argued his party had only bad options when it came to shutting down the government � possibly for months � to challenge Trump, or accepting a GOP bill that Democrats have warned would cut spending to programs like veterans� health care or Washington, DC, firefighters and police.",Politics
"At the urging of prominent Democrats like Rep. Alexandria Ocasio-Cortez, voters had been flooding senators� offices with calls urging them to block the bill and take on Trump for his dismantling of the federal government. Ultimately, many Democrats believe, Schumer failed that test.",Politics
"Sen. Martin Heinrich, the top Democrat on the Senate Energy and Natural Resources Committee, would not say whether he thought the party needed a new leader, telling reporters: �That�s a conversation for inside the caucus. I�m not going to debate that out here.�",Politics
"House Speaker Mike Johnson told reporters Monday he�s confident a funding bill will pass this week ahead of the Friday deadline because �no one wants to shut the government down and we are governing, doing the responsible thing as Republicans.�",Politics
"The third member of the panel, Trump-appointed Judge Allison Rushing, stressed the panel�s conclusions that the president�s orders likely did not violate the Constitution, and she took a swipe at Diaz for praising diversity programs.",Politics
"Federal courts have been navigating amped-up rhetoric from the president and his allies at a time when they are also weighing dozens of Trump�s policies and decisions to fire the leadership at independent agencies. The Supreme Court has already been asked to wade into two of those cases on its emergency docket, and a flood of other litigation is almost certainly inbound.",Politics
"Federal courts have been navigating amped-up rhetoric from the president and his allies at a time when they are also weighing dozens of Trump�s policies and decisions to fire the leadership at independent agencies. The Supreme Court has already been asked to wade into two of those cases on its emergency docket, and a flood of other litigation is almost certainly inbound.",Politics
"The declaration from Ezell said that OPM did not �direct� other agencies to terminate probationary employees � the central issue in the case brought by labor unions and others. But the judge in the case repeatedly said that in order for the declaration to remain in the record, attorneys for the plaintiffs would need to have the opportunity to cross-examine Ezell.",Politics
The department�s decision to withdraw the declaration comes a day after US District Judge William Alsup rebuffed a request from the government to cancel the hearing � which he previously said he would not do � and quash the subpoenas issued to Ezell and a slew of other officials for either depositions or courtroom testimony this week.,Politics
"The Justice Department had argued, among other things, that compelling Ezell to testify �would pose major separation-of-powers concerns, especially at this early stage of litigation,� and claimed he has �scant evidentiary value� concerning the central issue in the case: whether his agency ordered others to fire probationary employees en masse.",Politics
"�The Government cannot rely on its own delays to argue that it lacks time to prepare for this hearing,� they wrote. �Nor should it be allowed to relitigate whether the hearing should go forward at all, where the Court made clear that this hearing is necessary to settle the fact dispute that the Government itself injected into this case.�",Politics
"The Trump White House is enmeshed in the daily decision-making at DOJ and FBI. Officials at the Justice Department and FBI Director Kash Patel have deferred to Trump and White House adviser Stephen Miller for strategy and messaging issues, sources�previously told CNN, and Miller has regularly talked to the top officials in those departments.",Politics
"During his first term, Trump kept his distance from the department because of the ongoing investigation into potential ties between his campaign and Russia. (Trump was never charged.) The president had, in 2017, sought to give an address at FBI headquarters but was talked out of the idea by advisers in the White House because of an uproar inside the bureau over his firing of James Comey.",Politics
"Joe Biden stayed away from the Justice Department � in part because of the then-ongoing investigation of his son. And Merrick Garland, Biden�s attorney general, limited his public interactions with the president, to try to show separation given the Hunter Biden and Trump investigations, which were then ongoing.",Politics
"Senate Democrats came under intense pressure to oppose the Trump-backed bill, and Senate Minority Leader Chuck Schumer and others are now facing backlash after they helped to clear a path for its passage.",Politics
"The new study shows that this aging process may not inactivate the H5N1 virus, however, and it underscores the risk of consuming raw or undercooked foods during the bird flu outbreak, which continues to infect dairy cattle, poultry and a growing number of other animal species.",Health
"�The disease is not passed through food, so you cannot get it � as far as we know, you cannot get it from an egg or milk or meat from an infected animal,� Kennedy told Fox News in an interview that aired Tuesday.",Health
"It may also depend on the strain of virus in the milk or cheese. Diel and his team tested the stability of the B3.13 virus, which originally infected cattle in the US in March 2024. B3.13 has caused only mild disease in people. However, a new strain, D1.1, which has been associated with some severe human cases, has also crossed into cattle, further increasing the risk.",Health
"Typically, the 17-member FDA vaccine committee would meet next and publicly discuss the recommendation and make its own endorsement, and then the agency would make its final decision.",Health
"In the current outbreak, 36 patients have been hospitalized, six more than previously reported. Ninety-one cases are among children ages 0 to 4 and 125 are among people ages 5 to 17. In Texas two hundred and fifty-seven cases � all but two � are in people who are unvaccinated or with unknown vaccination status. In New Mexico, 33 of 35 cases are in those who were unvaccinated or with unknown vaccination status.",Health
"�We consider this a regional outbreak of measles that has been linked geographically and by the strain identified through genome sequencing,� said Robert Nott, communications director for the New Mexico Department of Health.",Health
"Measles is a highly contagious airborne virus that can stay in the air or on surfaces for up to two hours after an infected person has left the room. It also has a fairly long incubation period, which makes contact tracing and identifying exposures very difficult, according to Troisi.",Health
"�This is a virus that will spread, certainly, until mid-May. So we have a couple more months of this. We are certainly going to exceed last year�s levels massively,� Dr. Paul Offit, director of the Vaccine Education Center at the Philadelphia Children�s Hospital, told CNN.",Health
"The situation is acute in Bosnia and Herzegovina, Montenegro, North Macedonia and Romania where, the report says, less than 80% of eligible children were vaccinated against measles in 2023.",Health
"New Mexico has had more reported cases of hantavirus than any other state, and about 41% of those patients died from the disease. A virus called Sin Nombre is the most common hantavirus in the Southwestern US, said Dr. William Schaffner, an infectious disease expert at Vanderbilt University Medical Center.",Health
"Symptoms can take up to two months to show up after contact with the virus, often starting with fatigue, fever and muscle aches that can develop into coughing and shortness of breath within a few days. Some people with the disease may also have headaches, dizziness and chills, as well as nausea or other abdominal problems.",Health
"After a phase of flu-like symptoms that can last about three to six days, patients can transition to a new phase in which they develop fluid in and around their lungs, Dr. Heather Jarrell, chief medical investigator at the New Mexico Office of the Medical Investigator, said at a news conference Friday.",Health
"For half of all women with bacterial vaginosis, the infection returns after completion of a week of antibiotics, the preferred medical treatment for BV, said first author Lenka Vodstrcil, a senior research fellow at the Melbourne Sexual Health Centre at Monash University in Australia.",Health
"If left untreated, bacterial vaginosis can increase the risk of�acquiring HIV�as well as sexually transmitted infections, according to the World Health Organization. Women with BV can also develop an infection in the fallopian tubes, ovaries or uterus called pelvic inflammatory disease,�the WHO states on its website.",Health
"The randomized clinical trial of 164 monogamous couples was conducted at multiple centers in Australia. In 81 of the couples, both partners were treated with seven days of oral antibiotics. During that time, the male partner also used a topical antibiotic on their penis twice a day.",Health
"But it�s possible for parents to protect their kids against some of that self-hatred, Aguirre said. And for kids who have experienced self-loathing, it�s also possible for them eventually to reclaim their self-worth.",Health
"There are lots of ways in which we can be unhappy with ourselves. But when the idea of not being enough is so profound that it becomes embedded in how you see yourself and pervades your entire being, it can become self-hatred. When that happens, self-loathing starts to impact a lot of the decisions you make, the jobs you apply to, the schools you go to, the romantic partners you pick. I�m talking about something that is embedded in the core of who a person is. That�s what self-hatred is all about.",Health
"Stage 1 breast cancer is also considered an early breast cancer stage. However, unlike stage 0 cancer, stage 1 cancer is an invasive form of cancer. That means the cancer has spread into healthy breast tissue. As with stage 0 cancer, you might not experience any symptoms. However, you might be able to feel a lump or notice a slight change in the size or shape of your breast.",Health
"Understanding these stages of early breast cancer can help you make better decisions for yourself. Although the treatment recommended to you will depend on the stage of your early breast cancer, you do have choices. Don�t hesitate to have an open and honest discussion with your oncologist about your preferences and goals for treatment, and how those dovetail with the treatment options available to you.",Health
"Health misinformation is on the rise. Look for these red flags
Health misinformation is everywhere. How do we determine what to believe? CNN�s Chief Medical Correspondent Dr. Sanjay Gupta discusses how to navigate health misinformation with Emory University infectious disease researcher, Laurel Bristow. For more of �Chasing Life with Dr. Sanjay Gupta� listen and follow wherever you get your podcasts",Health
"Brain rot� is increasingly common. Dr. Sanjay Gupta explains how to combat it
Do you think you or your child is addicted to scrolling on social media? Dr. Sanjay Gupta explains why social media is tough to kick and gives his tips for how to cut down on screen time.",Health
"Pope Francis had another quiet night in hospital, the Vatican said in its Friday morning update, as his recovery from bilateral pneumonia continues.
The 88-year-old has now spent four weeks in hospital, much of it with an uncertain prognosis, but he is no longer in imminent danger of death. He first entered Rome's Gemelli Hospital on February 14 and remains under medical supervision.",Health
"The pope has had increasingly positive medical updates in recent days. A chest X-ray confirmed improvements, the Vatican had said on Wednesday. Thursday marked the 12th anniversary of his election as the 266th pope. It was a public holiday at the Vatican and Masses were held in his honor at churches in Rome. The pope spent the morning in physiotherapy, followed Lenten spiritual exercises of the Roman curia and stopped to pray at the chapel in the Gemelli Hospital.",Health
"Health officials are worried that measles cases in at least 12 states may be a harbinger of outbreaks of other preventable diseases, including polio, rubella, and mumps.
",Health
"Measles cases reached 222 as of March 6, including one confirmed death and another under investigation. The outbreak has put doctors on alert for other diseases that have been long under control by vaccination.",Health
"�It really is a harbinger,� said Adam Ratner, MD, MPH, director of pediatric infectious diseases at NYU Langone and Hassenfeld Children�s Hospital, New York. �When we start to see a decrease in vaccination rates, measles outbreaks are the first thing you see, and often what follows are the other vaccine-preventable diseases.�",Health
"Measles is considered the most contagious childhood disease, so the rapid spread isn�t surprising. The 222 cases in about two months is approaching the 285 total for the entire year in 2024, according to the CDC. Texas now counts 223 cases, up from 159 a week ago.",Health
"Vaccination rates must be very high to prevent its spread. �The threshold for achieving what people call herd immunity � I prefer the term community immunity � is 95%,� said George Rust, MD, MPH, a professor of medicine and co-director of the Center for Medicine and Public Health at the Florida State University College of Medicine in Tallahassee.�",Health
"The nationwide vaccination rate for measles for the 2022-2023 school year was 93.1%, according to the CDC, and the vaccine exemption rate was up, reaching a worrisome threshold of 5% in 10 states.",Health
"Estimates show that one person infected with measles can potentially infect 12 to 18 others, on average. For mumps, the average is about 14. For rubella, it�s six to seven. And for polio, it�s five to seven. (For comparison, someone with COVID-19 can infect about three people, on average.) ",Health
"In 2021, the City regulator, the Financial Conduct Authority (FCA), banned deals in which the dealer received a commission from the lender, based on the interest rate charged to the customer. These were known as discretionary commission arrangements (DCAs).",Business
"While the initial investigations surrounded discretionary commission arrangements, which were banned in 2021, the Court of Appeal decision widened the scope to any car finance commissions.",Business
"Under the FCA's plans, providers will have until December to consider and respond to complaints, aligning the deadline for firms to deal with discretionary and non-discretionary arrangement complaints.",Business
"That's because the tax is paid by the domestic company importing the goods, which may choose to pass the cost on to customers, or to reduce imports, meaning fewer products are available.",Business
"They argue that certain brands, such as Bourbon, Tennessee whiskey, tequila and Canadian whisky are ""recognized as distinctive products and can only be produced in their designated countries"".",Business
"The industry group has ""serious concerns"" that the tariffs on lumber could increase the cost of building homes - which are mostly made out of wood in the US - and also put off developers building new homes.",Business
"For many firms, the biggest question mark is tariffs, which raise costs for US businesses by putting taxes on imports. As Trump unveils tariff plans, many companies are now facing lower profit margins, while holding off on investments and hiring as they try to figure out what the future will look like.",Business
"Retail sales fell in February, confidence - which had popped after Trump's election on several surveys of consumers and businesses - has fallen, and companies including major airlines, retailers such as Walmart and Target, and manufacturers are warning of a pullback.",Business
